tax_sp_level,N,N_human_impacted,N_mines,N_impacted_total,AOO_all,AOO_left,nbe_occ_protected_area,AOO_without_impact,AOO_decline,Category_code_CA
Acacia schweinfurthii,58,10,1,10,224,40,9,184,17.857142857142858,LC or NT
Acacia senegal,197,55,3,50,740,184,15,556,24.864864864864867,LC or NT
Acacia seyal,139,64,1,61,488,200,12,288,40.98360655737705,VU
Acacia sieberiana,235,71,3,62,856,236,43,620,27.570093457943923,LC or NT
Acacia somalensis,1,0,0,0,4,0,0,4,0,LC or NT
Acacia stuhlmannii,43,7,0,6,168,24,3,144,14.285714285714285,LC or NT
Acacia swazica,4,0,0,0,16,0,0,16,0,LC or NT
Acacia tanganyikensis,16,7,0,6,60,24,3,36,40,VU
Acacia taylorii,4,2,0,0,12,0,2,12,0,LC or NT
Acacia tenuispina,3,0,0,0,8,0,0,8,0,LC or NT
Acacia tephrophylla,1,0,0,0,4,0,0,4,0,LC or NT
Acacia thomasii,22,1,2,2,80,8,9,72,10,LC or NT
Acacia torrei,4,0,0,0,16,0,1,16,0,LC or NT
Acacia tortilis,115,23,3,22,408,72,11,336,17.647058823529413,LC or NT
Acacia turnbulliana,16,0,0,0,64,0,0,64,0,LC or NT
Acacia venosa,1,1,0,1,4,4,0,0,100,CR
Acacia welwitschii,8,0,0,0,28,0,0,28,0,LC or NT
Acacia xanthophloea,33,8,0,7,124,28,4,96,22.58064516129032,LC or NT
Acacia zanzibarica,50,3,1,3,184,12,3,172,6.521739130434782,LC or NT
Acacia zizyphispina,1,0,0,0,4,0,0,4,0,LC or NT
Acalypha acrogyna,7,0,0,0,28,0,3,28,0,LC or NT
Acalypha allenii,4,2,0,2,16,8,1,8,50,EN
Acalypha ambigua,8,0,1,1,28,4,1,24,14.285714285714285,LC or NT
Acalypha angustata,3,3,0,3,4,4,0,0,100,CR
Acalypha benguelensis,2,1,0,1,8,4,1,4,50,EN
Acalypha bipartita,15,4,1,4,56,12,2,44,21.428571428571427,LC or NT
Acalypha brachiata,165,21,1,22,576,84,43,492,14.583333333333334,LC or NT
Acalypha bussei,7,1,0,0,28,0,1,28,0,LC or NT
Acalypha chirindica,46,5,0,3,156,12,5,144,7.6923076923076925,LC or NT
Acalypha ciliata,69,19,0,18,244,60,11,184,24.59016393442623,LC or NT
Acalypha clutioides,7,0,0,0,20,0,0,20,0,LC or NT
Acalypha crenata,28,9,2,11,104,40,0,64,38.46153846153847,VU
Acalypha cupricola,56,8,2,10,116,16,0,100,13.793103448275861,LC or NT
Acalypha deltoidea,1,0,0,0,4,0,1,4,0,LC or NT
Acalypha depressinerva,1,0,0,0,4,0,0,4,0,LC or NT
Acalypha dikuluwensis,1,0,1,1,4,4,0,0,100,CR
Acalypha dumetorum,12,0,0,0,16,0,0,16,0,LC or NT
Acalypha echinus,19,0,0,0,68,0,6,68,0,LC or NT
Acalypha engleri,50,0,4,4,168,16,23,152,9.523809523809524,LC or NT
Acalypha fimbriata,23,4,1,4,92,16,4,76,17.391304347826086,LC or NT
Acalypha fruticosa,99,26,2,22,364,88,19,276,24.175824175824175,LC or NT
Acalypha gillmanii,6,0,0,0,20,0,0,20,0,LC or NT
Acalypha glabrata,9,0,1,1,28,4,1,24,14.285714285714285,LC or NT
Acalypha glandulifolia,2,0,0,0,8,0,0,8,0,LC or NT
Acalypha guineensis,11,9,5,1,32,4,8,28,12.5,LC or NT
Acalypha hochstetteriana,1,0,0,0,4,0,0,4,0,LC or NT
Acalypha indica,28,9,1,8,108,28,3,80,25.925925925925924,LC or NT
Acalypha koraensis,1,0,0,0,4,0,1,4,0,LC or NT
Acalypha lanceolata,38,7,0,5,140,20,9,120,14.285714285714285,LC or NT
Acalypha manniana,27,0,0,0,84,0,3,84,0,LC or NT
Acalypha marissima,2,2,0,2,8,8,0,0,100,CR
Acalypha multifida,1,0,0,0,4,0,0,4,0,LC or NT
Acalypha neptunica,104,6,1,6,328,20,44,308,6.097560975609756,LC or NT
Acalypha nyasica,2,0,0,0,8,0,1,8,0,LC or NT
Acalypha ornata,224,26,4,18,740,68,70,672,9.18918918918919,LC or NT
Acalypha paniculata,87,17,0,13,320,48,18,272,15,LC or NT
Acalypha paucifolia,2,0,0,0,8,0,0,8,0,LC or NT
Acalypha peduncularis,4,1,0,1,16,4,1,12,25,LC or NT
Acalypha petiolaris,17,3,0,3,64,12,3,52,18.75,LC or NT
Acalypha polymorpha,62,8,1,9,200,24,10,176,12,LC or NT
Acalypha psilostachya,106,23,1,23,368,88,31,280,23.91304347826087,LC or NT
Acalypha pubiflora,3,0,0,0,12,0,0,12,0,LC or NT
Acalypha segetalis,32,12,0,9,124,36,3,88,29.03225806451613,LC or NT
Acalypha sonderiana,1,0,0,0,4,0,0,4,0,LC or NT
Acalypha supera,39,7,2,7,140,24,11,116,17.142857142857142,LC or NT
Acalypha volkensii,64,14,1,11,240,44,20,196,18.333333333333332,LC or NT
Acalypha welwitschiana,10,2,0,1,36,4,4,32,11.11111111111111,LC or NT
Acampe pachyglossa,37,1,0,1,132,4,5,128,3.0303030303030303,LC or NT
Acampe rigida,1,0,0,0,4,0,0,4,0,LC or NT
Acanthonema diandrum,2,0,0,0,8,0,1,8,0,LC or NT
Acanthonema strigosum,45,3,0,3,136,12,9,124,8.823529411764707,LC or NT
Acanthopale confertiflora,8,2,0,2,32,8,4,24,25,LC or NT
Acanthopale decempedalis,20,0,0,0,72,0,7,72,0,LC or NT
Acanthopale laxiflora,6,1,0,1,24,4,4,20,16.666666666666664,LC or NT
Acanthopale pubescens,28,2,0,2,100,8,11,92,8,LC or NT
Acanthopsis disperma,1,0,0,0,4,0,0,4,0,LC or NT
Acanthosicyos horrida,1,0,0,0,4,0,0,4,0,LC or NT
Acanthosicyos horridus,15,0,0,0,44,0,7,44,0,LC or NT
Acanthosicyos naudinianus,8,2,0,2,32,8,1,24,25,LC or NT
Acanthospermum glabratum,4,1,1,2,16,8,0,8,50,EN
Acanthospermum hispidum,88,30,7,35,328,132,3,196,40.243902439024396,VU
Acanthus eminens,12,7,0,7,40,24,1,16,60,EN
Acanthus guineensis,30,24,2,22,112,84,4,28,75,EN
Acanthus kulalensis,2,2,0,2,4,4,0,0,100,CR
Acanthus latisepalus,19,0,0,0,72,0,2,72,0,LC or NT
Acanthus mayaccanus,37,1,0,1,100,4,0,96,4,LC or NT
Acanthus montanus,212,43,2,37,676,128,19,548,18.93491124260355,LC or NT
Acanthus polystachyus,66,26,4,25,240,100,11,140,41.66666666666667,VU
Acanthus sennii,13,11,0,11,52,44,0,8,84.61538461538461,CR
Acanthus seretii,1,0,0,0,4,0,0,4,0,LC or NT
Acanthus ueleensis,44,10,0,9,148,28,10,120,18.91891891891892,LC or NT
Achillea millefolium,1,0,0,0,4,0,1,4,0,LC or NT
Achyranthes aspera,244,64,8,61,868,224,57,644,25.806451612903224,LC or NT
Achyranthes bidentata,13,2,0,0,52,0,7,52,0,LC or NT
Achyranthes fasciculata,5,0,0,0,20,0,5,20,0,LC or NT
Achyranthes talbotii,7,0,0,0,28,0,1,28,0,LC or NT
Achyrocline schimperi,75,25,0,25,276,100,22,176,36.231884057971016,VU
Achyropsis filifolia,4,1,0,0,16,0,2,16,0,LC or NT
Achyropsis fruticulosa,24,5,0,4,92,16,8,76,17.391304347826086,LC or NT
Achyropsis laniceps,12,3,1,4,48,16,1,32,33.33333333333333,VU
Achyropsis leptostachya,2,0,0,0,8,0,0,8,0,LC or NT
Achyrospermum aethiopicum,4,0,0,0,12,0,0,12,0,LC or NT
Achyrospermum africanum,33,1,0,1,80,4,7,76,5,LC or NT
Achyrospermum axillare,8,2,0,2,32,8,3,24,25,LC or NT
Achyrospermum carvalhoi,41,0,0,0,140,0,26,140,0,LC or NT
Achyrospermum ciliatum,19,4,3,7,68,28,5,40,41.17647058823529,VU
Achyrospermum cryptanthum,16,0,0,0,52,0,10,52,0,LC or NT
Achyrospermum dasytrichum,3,3,0,3,12,12,0,0,100,CR
Achyrospermum erythrobotrys,1,0,0,0,4,0,0,4,0,LC or NT
Achyrospermum laterale,1,0,0,0,4,0,0,4,0,LC or NT
Achyrospermum micranthum,10,2,0,0,36,0,8,36,0,LC or NT
Achyrospermum oblongifolium,48,13,3,10,176,40,12,136,22.727272727272727,LC or NT
Achyrospermum parviflorum,2,0,0,0,8,0,0,8,0,LC or NT
Achyrospermum radicans,7,0,0,0,28,0,2,28,0,LC or NT
Achyrospermum scandens,10,0,0,0,36,0,15,36,0,LC or NT
Achyrospermum schimperi,26,18,0,18,104,72,0,32,69.23076923076923,EN
Achyrospermum schlechteri,1,0,0,0,4,0,0,4,0,LC or NT
Achyrospermum serratum,3,0,0,0,12,0,0,12,0,LC or NT
Achyrospermum tisserantii,5,1,0,1,20,4,1,16,20,LC or NT
Achyrothalamus marginatus,11,0,1,0,40,0,4,40,0,LC or NT
Acmadenia mundiana,1,0,0,0,4,0,0,4,0,LC or NT
Acmadenia tetragona,1,0,0,0,4,0,0,4,0,LC or NT
Acmella caulirhiza,173,43,9,44,612,160,34,452,26.143790849673206,LC or NT
Acmella uliginosa,62,23,7,22,244,88,9,156,36.0655737704918,VU
Acokanthera laevigata,3,0,0,0,8,0,0,8,0,LC or NT
Acokanthera oblongifolia,2,1,0,1,8,4,0,4,50,EN
Acokanthera oppositifolia,14,6,0,6,44,12,0,32,27.27272727272727,LC or NT
Acokanthera rotundata,2,0,0,0,8,0,0,8,0,LC or NT
Acokanthera schimperi,35,21,0,21,132,76,2,56,57.57575757575758,EN
Acrachne racemosa,8,2,0,1,28,4,2,24,14.285714285714285,LC or NT
Acridocarpus alopecurus,35,0,7,6,140,24,12,116,17.142857142857142,LC or NT
Acridocarpus alternifolius,50,31,1,25,168,88,10,80,52.38095238095239,EN
Acridocarpus ballyi,1,0,0,0,4,0,0,4,0,LC or NT
Acridocarpus camerunensis,11,0,0,0,40,0,5,40,0,LC or NT
Acridocarpus caparados,4,0,0,0,16,0,0,16,0,LC or NT
Acridocarpus chevalieri,16,9,1,7,60,28,2,32,46.666666666666664,VU
Acridocarpus chloropterus,3,0,0,0,12,0,0,12,0,LC or NT
Acridocarpus congestus,3,0,0,0,12,0,3,12,0,LC or NT
Acridocarpus congolensis,3,0,0,0,12,0,0,12,0,LC or NT
Acridocarpus glaucescens,2,0,0,0,8,0,0,8,0,LC or NT
Acridocarpus katangensis,22,2,1,3,84,12,8,72,14.285714285714285,LC or NT
Acridocarpus longifolius,138,19,5,17,480,60,25,420,12.5,LC or NT
Acridocarpus longifolius wa,9,7,2,4,36,16,4,20,44.44444444444444,VU
Acridocarpus macrocalyx,46,4,0,4,168,12,4,156,7.142857142857142,LC or NT
Acridocarpus mayumbensis,1,0,0,0,4,0,0,4,0,LC or NT
Acridocarpus monodii,2,0,0,0,4,0,0,4,0,LC or NT
Acridocarpus natalitius,8,1,0,1,28,4,0,24,14.285714285714285,LC or NT
Acridocarpus pauciglandulosus,2,0,0,0,8,0,0,8,0,LC or NT
Acridocarpus plagiopterus,82,30,13,31,288,116,16,172,40.27777777777778,VU
Acridocarpus smeathmannii,103,55,11,46,356,156,25,200,43.82022471910113,VU
Acridocarpus spectabilis,8,1,1,2,28,8,2,20,28.57142857142857,LC or NT
Acridocarpus staudtii,2,0,0,0,8,0,0,8,0,LC or NT
Acridocarpus ugandensis,5,0,0,0,20,0,1,20,0,LC or NT
Acridocarpus vestitus,6,1,0,1,16,4,0,12,25,LC or NT
Acridocarpus zanzibaricus,46,2,4,3,156,12,5,144,7.6923076923076925,LC or NT
Acritochaete volkensii,13,2,0,2,40,8,7,32,20,LC or NT
Acroceras amplectens,90,24,0,18,312,72,22,240,23.076923076923077,LC or NT
Acroceras attenuatum,7,0,1,1,28,4,2,24,14.285714285714285,LC or NT
Acroceras gabunense,96,28,1,27,292,76,9,216,26.027397260273972,LC or NT
Acroceras macrum,19,9,0,9,76,36,1,40,47.368421052631575,VU
Acroceras zizanioides,241,36,6,34,784,132,27,652,16.83673469387755,LC or NT
Acrosanthes teretifolia,1,0,0,0,4,0,0,4,0,LC or NT
Acrostichum aureum,70,7,2,9,212,32,4,180,15.09433962264151,LC or NT
Acrotome angustifolia,4,0,0,0,12,0,1,12,0,LC or NT
Acrotome fleckii,4,0,0,0,16,0,1,16,0,LC or NT
Acrotome hispida,1,1,0,1,4,4,0,0,100,CR
Acrotome inflata,8,0,0,0,32,0,0,32,0,LC or NT
Acrotome pallescens,1,0,0,0,4,0,0,4,0,LC or NT
Acrotome tenuis,1,0,0,0,4,0,0,4,0,LC or NT
Actephila africana,101,21,1,22,276,24,7,252,8.695652173913043,LC or NT
Actinanthella menyharthii,1,0,0,0,4,0,0,4,0,LC or NT
Actiniopteris dimorpha,96,25,2,24,360,88,16,272,24.444444444444443,LC or NT
Actiniopteris kornasii,2,0,0,0,8,0,0,8,0,LC or NT
Actiniopteris pauciloba,26,3,2,5,92,16,3,76,17.391304347826086,LC or NT
Actiniopteris radiata,150,41,8,45,556,172,28,384,30.935251798561154,VU
Actiniopteris semiflabellata,149,55,2,53,544,188,26,356,34.55882352941176,VU
Actinoschoenus filiformis,25,5,0,5,64,8,3,56,12.5,LC or NT
Adansonia digitata,91,31,2,31,320,120,5,200,37.5,VU
Adelostigma senegalense,13,4,3,5,48,20,1,28,41.66666666666667,VU
Adenandra acuta,2,0,0,0,4,0,0,4,0,LC or NT
Adenandra marginata,1,0,0,0,4,0,0,4,0,LC or NT
Adenandra uniflora,1,0,0,0,4,0,0,4,0,LC or NT
Adenandra villosa,1,0,0,0,4,0,0,4,0,LC or NT
Adenia aculeata,9,1,0,1,28,4,0,24,14.285714285714285,LC or NT
Adenia ballyi,1,0,0,0,4,0,0,4,0,LC or NT
Adenia bequaertii,22,2,1,3,80,12,7,68,15,LC or NT
Adenia cissampeloides,223,85,20,65,812,244,48,568,30.049261083743843,VU
Adenia cynanchifolia,35,4,4,8,124,32,0,92,25.806451612903224,LC or NT
Adenia digitata,17,0,0,0,64,0,3,64,0,LC or NT
Adenia dinklagei,19,17,5,13,72,48,5,24,66.66666666666666,EN
Adenia dolichosiphon,10,3,0,3,36,8,1,28,22.22222222222222,LC or NT
Adenia ellenbeckii,5,0,0,0,16,0,0,16,0,LC or NT
Adenia erecta,4,2,1,3,12,8,0,4,66.66666666666666,EN
Adenia gedoensis,1,1,0,1,4,4,0,0,100,CR
Adenia globosa,29,5,0,5,108,20,6,88,18.51851851851852,LC or NT
Adenia goetzei,1,0,0,0,4,0,1,4,0,LC or NT
Adenia gracilis,82,22,4,23,276,80,10,196,28.985507246376812,LC or NT
Adenia gummifera,34,5,1,5,136,20,9,116,14.705882352941178,LC or NT
Adenia hastata,6,0,0,0,24,0,1,24,0,LC or NT
Adenia huillensis,1,0,0,0,4,0,0,4,0,LC or NT
Adenia inermis,3,0,0,0,8,0,0,8,0,LC or NT
Adenia karibaensis,1,0,0,0,4,0,1,4,0,LC or NT
Adenia keramanthus,16,1,0,0,64,0,2,64,0,LC or NT
Adenia kigogoensis,3,0,0,0,12,0,0,12,0,LC or NT
Adenia kirkii,28,1,1,1,104,4,7,100,3.8461538461538463,LC or NT
Adenia lanceolata,3,2,0,2,12,8,0,4,66.66666666666666,EN
Adenia latepetala,1,0,0,0,4,0,0,4,0,LC or NT
Adenia lewallei,2,2,0,2,4,4,0,0,100,CR
Adenia lindiensis,27,0,3,3,96,8,12,88,8.333333333333332,LC or NT
Adenia lobata,172,72,7,47,580,176,44,404,30.344827586206897,VU
Adenia mannii,108,29,3,21,372,80,24,292,21.50537634408602,LC or NT
Adenia metriosiphon,7,5,0,5,24,16,0,8,66.66666666666666,EN
Adenia ovata,3,0,0,0,12,0,0,12,0,LC or NT
Adenia panduriformis,2,0,0,0,8,0,3,8,0,LC or NT
Adenia poggei,38,4,1,2,124,8,5,116,6.451612903225806,LC or NT
Adenia pulchra,3,0,0,0,8,0,0,8,0,LC or NT
Adenia racemosa,7,3,0,2,24,8,2,16,33.33333333333333,VU
Adenia repanda,5,1,0,1,20,4,0,16,20,LC or NT
Adenia reticulata,38,6,6,11,124,36,6,88,29.03225806451613,LC or NT
Adenia rumicifolia,104,34,10,31,372,104,23,268,27.956989247311824,LC or NT
Adenia schliebenii,4,1,0,1,16,4,2,12,25,LC or NT
Adenia schweinfurthii,5,1,0,1,20,4,0,16,20,LC or NT
Adenia spinosa,1,1,0,1,4,4,0,0,100,CR
Adenia staudtii,30,11,0,11,72,28,3,44,38.88888888888889,VU
Adenia stenodactyla,9,1,0,1,32,4,2,28,12.5,LC or NT
Adenia stenophylla,1,0,0,0,4,0,0,4,0,LC or NT
Adenia stolzii,9,0,0,0,24,0,1,24,0,LC or NT
Adenia tricostata,12,2,0,2,48,8,1,40,16.666666666666664,LC or NT
Adenia tuberifera,1,0,0,0,4,0,0,4,0,LC or NT
Adenia venenata,18,5,0,5,68,20,0,48,29.411764705882355,LC or NT
Adenia volkensii,1,0,0,0,4,0,1,4,0,LC or NT
Adenia welwitschii,3,0,0,0,8,0,0,8,0,LC or NT
Adenia wightiana,8,0,1,1,20,4,0,16,20,LC or NT
Adenia wilmsii,1,0,0,0,4,0,0,4,0,LC or NT
Adenia zambesiensis,1,0,0,0,4,0,0,4,0,LC or NT
Adenium boehmianum,20,2,0,2,64,8,5,56,12.5,LC or NT
Adenium multiflorum,4,0,0,0,16,0,0,16,0,LC or NT
Adenium obesum,45,13,1,13,176,52,3,124,29.545454545454547,LC or NT
Adenium oleifolium,4,1,0,1,16,4,0,12,25,LC or NT
Adenium swazicum,2,0,0,0,8,0,0,8,0,LC or NT
Adenocarpus mannii,66,2,0,2,156,8,32,148,5.128205128205128,LC or NT
Adenocline acuta,2,0,0,0,8,0,0,8,0,LC or NT
Adenocline zeyheri,1,1,0,1,4,4,0,0,100,CR
Adenodolichos baumii,3,0,0,0,12,0,0,12,0,LC or NT
Adenodolichos bequaertii,2,0,0,0,8,0,1,8,0,LC or NT
Adenodolichos brevipetiolatus,5,0,0,0,12,0,2,12,0,LC or NT
Adenodolichos exellii,3,0,0,0,12,0,0,12,0,LC or NT
Adenodolichos grandifoliolatus,9,0,0,0,24,0,5,24,0,LC or NT
Adenodolichos harmsianus,1,0,0,0,4,0,1,4,0,LC or NT
Adenodolichos huillensis,11,1,0,1,28,4,3,24,14.285714285714285,LC or NT
Adenodolichos kaessneri,11,0,0,0,40,0,1,40,0,LC or NT
Adenodolichos katangensis,6,0,0,0,20,0,1,20,0,LC or NT
Adenodolichos oblongifoliolatus,1,0,0,0,4,0,1,4,0,LC or NT
Adenodolichos paniculatus,31,12,0,12,124,48,4,76,38.70967741935484,VU
Adenodolichos punctatus,60,27,7,30,172,72,5,100,41.86046511627907,VU
Adenodolichos rhomboideus,36,16,5,17,104,32,1,72,30.76923076923077,VU
Adenodolichos rupestris,12,0,0,0,16,0,12,16,0,LC or NT
Adenodolichos salviifoliolatus,1,0,0,0,4,0,0,4,0,LC or NT
Adenogramma sylvatica,1,1,0,1,4,4,0,0,100,CR
Adenolobus garipensis,8,1,0,1,32,4,3,28,12.5,LC or NT
Adenolobus pechuelii,16,0,0,0,60,0,9,60,0,LC or NT
Adenopodia rotundifolia,4,0,0,0,16,0,0,16,0,LC or NT
Adenopodia scelerata,42,15,2,8,140,32,17,108,22.857142857142858,LC or NT
